job,status,customer,order_date,part_number,description,rev,order_quantity,unit_price,total_price,net_shipped,order_unit,price_uom,sales_rep,customer_line2,job_revision
19-111,Complete,ROSENBLAD,2019-09-24T00:00:00,STRIPPER CONDENSER,STRIPPER CONDENSER,,1,131350.00,131350.00,1,ea,ea,,3374-G1734-04,
19-112,Complete,HARPLOVE,2019-10-03T00:00:00,(5) VITON GASKETS,(5) VITON GASKETS,,1,1250.00,1250.00,0,ea,ea,,46960,
19-113,Complete,SOLVSPEC,2019-10-08T00:00:00,HOT OIL EXPANSION TK V-1440,HOT OIL EXPANSION TK V-1440,,1,13500.00,13500.00,1,ea,ea,,4513415856-5782,
19-114,Complete,ACTIONEL,2019-10-16T00:00:00,"15,000 GAL CST TANK","15,000 GAL CST TANK",,1,40250.00,40250.00,1,ea,ea,,940619-104347,
19-115,Complete,AIRCO111,2019-11-05T00:00:00,SST HANDRAIL FOR 54' TANK,SST HANDRAIL FOR 54' TANK,,1,23500.00,23500.00,1,ea,ea,,3141,
19-116,Complete,YATECONS,2019-11-05T00:00:00,DEDUSTING OIL STRGE TK T-1232,DEDUSTING OIL STRGE TK T-1232,,1,53775.00,53775.00,1,ea,ea,,3490400019,
19-117,Complete,YATECONS,2019-11-05T00:00:00,TCWR STORAGE TANK T-1040,TCWR STORAGE TANK T-1040,,1,50600.00,50600.00,0,ea,ea,,3490400019,
19-118,Complete,S&STECHN,2019-12-03T00:00:00,MDMT CHANGES 3 VESSELS,MDMT CHANGES 3 VESSELS,,1,1500.00,1500.00,0,ea,ea,,C5511107SA1,
19-119,Complete,IFFCHEMI,2019-11-21T00:00:00,100 GAL SST DROP OFF POT,100 GAL SST DROP OFF POT,,1,11925.00,11925.00,1,ea,ea,,4700630674,
19-120,Complete,IFFCHEMI,2019-11-21T00:00:00,100 GAL SST DROP OFF POT,100 GAL SST DROP OFF POT,,1,11925.00,11925.00,1,ea,ea,,4700630674,
19-121,Complete,TRINMANU,2019-12-03T00:00:00,CHLOROPICRIN CATCH TK T-1807,CHLOROPICRIN CATCH TK T-1807,,1,14825.00,14825.00,1,ea,ea,,PJ-101318,
19-122,Complete,IFFCHEMI,2019-12-09T00:00:00,SST HARDWARE & VITON GASKETS,SST HARDWARE & VITON GASKETS,,1,2950.00,2950.00,0,ea,ea,,4700634532,
19-123,Complete,GARRMACH,2019-12-23T00:00:00,310 SST TUBE,310 SST TUBE,,1,5950.00,5950.00,2,ea,ea,,4750,
19-124,Complete,GARRMACH,2019-12-23T00:00:00,310 SST TUBE,310 SST TUBE,,1,8925.00,8925.00,1,ea,ea,,4750,
