job,part_number,customer,make_quantity,labor_hrs,labor_setup,labor_run,ot_hrs,ot_setup,ot_run,scrap_qty,scrap_run,scrap_setup
19-045,INTERSTAGE LIQUID TRAP (UD002),S&STECHN,1,64.00,0.00,64.00,3.00,0.00,3.00,0.00,0.00,0.00
19-046,INTERSTAGE LIQUID TRAP (UD002),S&STECHN,1,61.75,0.00,61.75,2.00,0.00,2.00,0.00,0.00,0.00
19-047,"30,000 GAL BULK TANK W/LADDER",PILGRIMS,1,130.75,0.00,130.75,4.25,0.00,4.25,0.00,0.00,0.00
19-048,"30,000 GAL BULK TANK",PILGRIMS,1,195.25,0.00,195.25,38.25,0.00,38.25,0.00,0.00,0.00
19-049,HOT WATER EXPANSION TANK,ONEACONS,1,37.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00
19-050,HOT WATER EXPANSION TANK,ONEACONS,1,37.00,0.00,37.00,4.00,0.00,4.00,0.00,0.00,0.00
19-051,"23,500 GAL CAUSTIC TANK",FLOQENGI,1,98.50,0.00,98.50,9.00,0.00,9.00,0.00,0.00,0.00
19-052,FEED HOPPER,PLASEXPR,1,84.50,0.00,84.50,13.50,0.00,13.50,0.00,0.00,0.00
19-053,FEED HOPPER,PLASEXPR,1,107.75,0.00,107.75,14.00,0.00,14.00,0.00,0.00,0.00
19-054,FEED HOPPER,PLASEXPR,1,66.25,0.00,66.25,6.50,0.00,6.50,0.00,0.00,0.00
19-055,FEED HOPPER,PLASEXPR,1,54.75,0.00,54.75,9.50,0.00,9.50,0.00,0.00,0.00
19-056,"7,000 GAL CST SULFURIC ACID TK",THIEKAOL,1,32.75,0.00,32.75,25.75,0.00,25.75,0.00,0.00,0.00
19-058,"5,000 GAL JACKETED HOLDING TK",JWCENVIRO,1,82.25,0.00,82.25,20.00,0.00,20.00,0.00,0.00,0.00
19-059,"5,000 GAL JACKETED HOLDING TK",JWCENVIRO,1,136.75,0.00,136.75,29.25,0.00,29.25,0.00,0.00,0.00
19-060,500 GL JACKETED ACIDULUTION TK,JWCENVIRO,1,65.00,0.00,65.00,25.50,0.00,25.50,0.00,0.00,0.00
19-061,"1,000 GL SECONDARY SLUDGE TK",JWCENVIRO,1,12.25,0.00,12.25,4.00,0.00,4.00,0.00,0.00,0.00
19-062,"1,000 GL SECONDARY SLUDGE TK",JWCENVIRO,1,17.75,0.00,17.75,4.00,0.00,4.00,0.00,0.00,0.00
19-063,"1,500 GL PRIMARY SLUDGE TANK",JWCENVIRO,1,19.25,0.00,19.25,4.00,0.00,4.00,0.00,0.00,0.00
19-064,"1,500 GL PRIMARY SLUDGE TANK",JWCENVIRO,1,14.75,0.00,14.75,4.00,0.00,4.00,0.00,0.00,0.00
19-065,"2,500 GL INFLUENT COLLECT TANK",JWCENVIRO,1,52.00,0.00,52.00,17.00,0.00,17.00,0.00,0.00,0.00
19-066,HTF VENT TANK,AURIPOLY,1,134.50,0.00,134.50,31.75,0.00,31.75,0.00,0.00,0.00
19-068,185 GAL SST DECANTER,SYMRISE,1,45.00,0.00,45.00,4.50,0.00,4.50,0.00,0.00,0.00
19-069,HEAT TREATMENT TANK,PINOVAIN,1,193.00,0.00,193.00,26.50,0.00,26.50,0.00,0.00,0.00
19-070,OXIDIZER VESSEL,KEMIRAWS,1,334.50,0.00,334.50,72.50,0.00,72.50,0.00,0.00,0.00
19-071,CARBON STEEL NUTRIENT STORAGE,INTEPAPEPW,1,297.75,0.00,297.75,58.25,0.00,58.25,0.00,0.00,0.00
19-072,BELT PRESS SLUDGE BLEND TK,INTEPAPEPW,1,83.50,0.00,83.50,6.00,0.00,6.00,0.00,0.00,0.00
19-073,SS SULFURIC ACID TANK,INTEPAPEPW,1,287.00,0.00,287.00,19.00,0.00,19.00,0.00,0.00,0.00
19-074,"6,000 GAL W-TANK T-38",PINOVAIN,1,105.00,0.00,105.00,9.00,0.00,9.00,0.00,0.00,0.00
19-075,BULK STORAGE SILO,ALLNEXUS,1,428.50,0.00,428.50,69.50,0.00,69.50,0.00,0.00,0.00
19-076,ACETRONITRILE TANK,AMBIOPHARM,1,59.00,0.00,59.00,12.50,0.00,12.50,0.00,0.00,0.00
19-077,ACETRONITRILE TK W CATWALK,AMBIOPHARM,1,65.50,0.00,65.50,13.50,0.00,13.50,0.00,0.00,0.00
19-078,MANWAY FIELD REPAIR-RESIN TANK,IRVCPROD,1,6.50,0.00,6.50,1.50,0.00,1.50,0.00,0.00,0.00
19-079,DISSOVLING TANK IN 2205,ANDRITZI,1,561.25,0.00,561.25,57.25,0.00,57.25,0.00,0.00,0.00
19-080,T2203 VSEP FEED TANK A,PCSPHOSP,1,93.75,0.00,93.75,15.00,0.00,15.00,0.00,0.00,0.00
19-081,T2203 VSEP FEED TANK A,PCSPHOSP,1,82.00,0.00,82.00,7.50,0.00,7.50,0.00,0.00,0.00
19-082,EVAPORATOR EFFECT VESSEL 1,ROSENBLAD,1,182.25,0.00,182.25,18.50,0.00,18.50,0.00,0.00,0.00
19-083,EVAPORATOR EFFECT VESSEL 2,ROSENBLAD,1,138.75,0.00,138.75,28.00,0.00,28.00,0.00,0.00,0.00
19-084,EVAPORATOR EFFECT VESSEL 3,ROSENBLAD,1,357.50,0.00,357.50,64.00,0.00,64.00,0.00,0.00,0.00
19-086,MC PULP STORAGE TK 520-V-5201,YATECONS,1,211.25,0.00,211.25,57.50,0.00,57.50,0.00,0.00,0.00
19-087,RETENTION TK 335-V-3333,YATECONS,1,221.00,0.00,221.00,74.00,0.00,74.00,0.00,0.00,0.00
19-088,FILTRATE TK 370-V-3780,YATECONS,1,193.75,0.00,193.75,56.75,0.00,56.75,0.00,0.00,0.00
19-089,CO-PRODUCT TK 660-V-6642,YATECONS,1,94.50,0.00,94.50,21.25,0.00,21.25,0.00,0.00,0.00
19-090,CAUSTIC SUPPLY TK 700-V-1414,YATECONS,1,108.00,0.00,108.00,28.50,0.00,28.50,0.00,0.00,0.00
19-091,PEROXIDE SUPPLY TK 700-V-1416,YATECONS,1,89.50,0.00,89.50,17.50,0.00,17.50,0.00,0.00,0.00
19-092,WET LAP WW TK 530-V-5312,YATECONS,1,55.00,0.00,55.00,10.00,0.00,10.00,0.00,0.00,0.00
19-093,BROKE TANK 540-V-5421,YATECONS,1,55.00,0.00,55.00,16.00,0.00,16.00,0.00,0.00,0.00
19-094,WARM WATER TK 540-V-5420,YATECONS,1,47.00,0.00,47.00,7.00,0.00,7.00,0.00,0.00,0.00
19-095,MIX TANK A 330-V-3322,YATECONS,1,194.00,0.00,194.00,32.00,0.00,32.00,0.00,0.00,0.00
19-096,MIX TANK B 330-V-3326,YATECONS,1,272.50,0.00,272.50,54.50,0.00,54.50,0.00,0.00,0.00
19-097,REFINER TANK 350-V-3558,YATECONS,1,85.00,0.00,85.00,15.50,0.00,15.50,0.00,0.00,0.00
19-098,REJECTS TRANSFER TK 360-V-3673,YATECONS,1,39.75,0.00,39.75,15.25,0.00,15.25,0.00,0.00,0.00
19-099,PRIMARY SCR FEED TK 360-V-3663,YATECONS,1,65.25,0.00,65.25,22.50,0.00,22.50,0.00,0.00,0.00
19-100,SECONDARY SCR FD TK 360-V-3668,YATECONS,1,43.25,0.00,43.25,18.75,0.00,18.75,0.00,0.00,0.00
19-101,DILUTION COL TANK 570-V-5651,YATECONS,1,63.50,0.00,63.50,8.00,0.00,8.00,0.00,0.00,0.00
19-102,FAN PUMP STANDPIPE 570-V-5701,YATECONS,1,84.50,0.00,84.50,6.00,0.00,6.00,0.00,0.00,0.00
19-103,TFX FEED LOOP TK 570-V-5705,YATECONS,1,64.25,0.00,64.25,24.50,0.00,24.50,0.00,0.00,0.00
19-104,MACHINE TANK 570-V-5703A,YATECONS,1,18.25,0.00,18.25,5.00,0.00,5.00,0.00,0.00,0.00
19-105,MACHINE TANK 570-V-5703B,YATECONS,1,23.75,0.00,23.75,2.00,0.00,2.00,0.00,0.00,0.00
19-106,MACHINE TANK 570-V-5703C,YATECONS,1,20.75,0.00,20.75,2.00,0.00,2.00,0.00,0.00,0.00
19-107,MACHINE TANK 570-V-5703D,YATECONS,1,20.25,0.00,20.25,2.00,0.00,2.00,0.00,0.00,0.00
19-108,MACHINE TANK 570-V-5703E,YATECONS,1,24.25,0.00,24.25,2.00,0.00,2.00,0.00,0.00,0.00
19-109,MACHINE TANK 570-V-5703F,YATECONS,1,23.25,0.00,23.25,2.00,0.00,2.00,0.00,0.00,0.00
19-110,WW RETURN TANK 560-V-5630,YATECONS,1,30.75,0.00,30.75,2.25,0.00,2.25,0.00,0.00,0.00
19-111,STRIPPER CONDENSER,ROSENBLAD,1,204.75,0.00,204.75,83.00,0.00,83.00,0.00,0.00,0.00
19-113,HOT OIL EXPANSION TK V-1440,SOLVSPEC,1,43.00,0.00,43.00,12.00,0.00,12.00,0.00,0.00,0.00
19-114,"15,000 GAL CST TANK",ACTIONEL,1,108.25,0.00,108.25,12.00,0.00,12.00,0.00,0.00,0.00
19-115,SST HANDRAIL FOR 54' TANK,AIRCO111,1,18.50,0.00,18.50,0.00,0.00,0.00,0.00,0.00,0.00
19-116,DEDUSTING OIL STRGE TK T-1232,YATECONS,1,120.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00
19-117,TCWR STORAGE TANK T-1040,YATECONS,1,166.00,0.00,166.00,0.00,0.00,0.00,0.00,0.00,0.00
19-119,100 GAL SST DROP OFF POT,IFFCHEMI,1,20.50,0.00,20.50,0.00,0.00,0.00,0.00,0.00,0.00
19-120,100 GAL SST DROP OFF POT,IFFCHEMI,1,20.50,0.00,20.50,0.00,0.00,0.00,0.00,0.00,0.00
19-121,CHLOROPICRIN CATCH TK T-1807,TRINMANU,1,25.50,0.00,25.50,3.50,0.00,3.50,0.00,0.00,0.00
19-123,310 SST TUBE,GARRMACH,1,5.50,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00
19-124,310 SST TUBE,GARRMACH,1,5.50,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00
20-001,"25,500 GAL SST CAUSTIC TANK",EVERPACK,1,101.00,0.00,101.00,30.00,0.00,30.00,0.00,0.00,0.00
20-002,400 G CST ASME BOILER BLOWOFF,KIMCLARK,1,61.50,0.00,61.50,25.00,0.00,25.00,0.00,0.00,0.00
20-004,DISCHARGE WATER AND SEAL TANK,MILLIKEN,1,34.50,0.00,34.50,13.50,0.00,13.50,0.00,0.00,0.00
20-005,DRYER RECEIVER,SOLVSPEC,1,38.50,0.00,38.50,9.50,0.00,9.50,0.00,0.00,0.00
20-006,CONTAINMENT RECEIVER,SOLVSPEC,1,32.75,0.00,32.75,0.00,0.00,0.00,0.00,0.00,0.00
20-007,RECYCLE TANK,SOLVSPEC,1,4.25,0.00,4.25,0.00,0.00,0.00,0.00,0.00,0.00
