Operation,Description,Work_Center,Est_Setup_Hrs,Run,Run_Method
50,INSTALL SHELL NOZZLE MANW,FIT,0.0,0.0,FixedHrs
52,"FIT SUPPORTS, LUGS, ETC",FIT,0.0,0.0,FixedHrs
54,INSTALL VAC/INS RINGS,FIT,0.0,0.0,FixedHrs
55,INSTALL BAFFLES,FIT,0.0,0.0,FixedHrs
58,GRIND/POLISH INTERNAL WLD,FIT,0.0,0.0,FixedHrs
59,CUT TANK APART,FIT,0.0,0.0,FixedHrs
60,FAB LADDER,PRE FAB,0.0,0.0,FixedHrs
61,FAB HANDRAIL,PRE FAB,0.0,0.0,FixedHrs
62,FAB PLATFORM,PRE FAB,0.0,0.0,FixedHrs
65,FIT LADDER HANDRL PLATFRM,FIT,0.0,0.0,FixedHrs
70,INSTALL JACKET SHELL,FIT,0.0,0.0,FixedHrs
71,INSTALL JACKET HEAD,FIT,0.0,0.0,FixedHrs
76,FAB PIPE COIL,FIT,0.0,0.0,FixedHrs
77,INSTALL PIPE COIL,FIT,0.0,0.0,FixedHrs
80,MOVE TANK,MOVE TANK,0.0,0.0,FixedHrs
90,HYDRO/AIR/DYE PEN TEST,FINISHING,0.0,0.0,FixedHrs
91,CLEAN TANK,FINISHING,0.0,0.0,FixedHrs
93,CLOSE FOR SHIPPING/PALLET,FINISHING,0.0,0.0,FixedHrs
94,LOAD ON TRUCK,SHIPPING,0.0,0.0,FixedHrs
98,DELIVER/PU COMPONENTS,SHIPPING,0.0,0.0,FixedHrs
99,DELIVER TANK,SHIPPING,0.0,0.0,FixedHrs
X BLD TANK,TRANSFERED HRS FROM BOOK,SHOP,0.0,0.0,FixedHrs
Z-FIN BLD,FINISH BUILDING TANK,SHOP,0.0,0.0,FixedHrs
