25-183,VERTCORP,BUFFER TANK 60 OF 224,Active,NULL,SCOTT,2026-03-17 08:20:40.000,2025-12-15 00:00:00.000
25-134,VERTCORP,BUFFER TANK 11 OF 224,Active,NULL,SCOTT,2026-03-17 08:12:35.000,2026-01-13 00:00:00.000
25-133,VERTCORP,BUFFER TANK 10 OF 224,Active,NULL,SCOTT,2026-03-17 08:12:35.000,2025-12-15 00:00:00.000
25-137,VERTCORP,BUFFER TANK 14 OF 224,Active,NULL,SCOTT,2026-03-17 08:03:42.000,2025-12-15 00:00:00.000
25-146,VERTCORP,BUFFER TANK 23 OF 224,Active,NULL,SCOTT,2026-03-17 08:03:42.000,2025-12-15 00:00:00.000
25-140,VERTCORP,BUFFER TANK 17 OF 224,Active,NULL,SCOTT,2026-03-17 08:03:42.000,2025-12-15 00:00:00.000
25-128,VERTCORP,BUFFER TANK 5 OF 224,Complete,NULL,SCOTT,2026-03-17 08:03:42.000,2026-01-13 00:00:00.000
25-213,VERTCORP,BUFFER TANK 90 OF 224,Active,NULL,SCOTT,2026-03-17 07:39:45.000,2025-12-15 00:00:00.000
25-204,VERTCORP,BUFFER TANK 81 OF 224,Active,NULL,SCOTT,2026-03-17 07:39:44.000,2025-12-15 00:00:00.000
25-205,VERTCORP,BUFFER TANK 82 OF 224,Active,NULL,SCOTT,2026-03-17 07:39:44.000,2025-12-15 00:00:00.000
25-206,VERTCORP,BUFFER TANK 83 OF 224,Active,NULL,SCOTT,2026-03-17 07:39:44.000,2025-12-15 00:00:00.000
25-207,VERTCORP,BUFFER TANK 84 OF 224,Active,NULL,SCOTT,2026-03-17 07:39:44.000,2025-12-15 00:00:00.000
25-208,VERTCORP,BUFFER TANK 85 OF 224,Active,NULL,SCOTT,2026-03-17 07:39:44.000,2025-12-15 00:00:00.000
25-209,VERTCORP,BUFFER TANK 86 OF 224,Active,NULL,SCOTT,2026-03-17 07:39:44.000,2025-12-15 00:00:00.000
25-210,VERTCORP,BUFFER TANK 87 OF 224,Active,NULL,SCOTT,2026-03-17 07:39:44.000,2025-12-15 00:00:00.000
25-211,VERTCORP,BUFFER TANK 88 OF 224,Active,NULL,SCOTT,2026-03-17 07:39:44.000,2025-12-15 00:00:00.000
25-212,VERTCORP,BUFFER TANK 89 OF 224,Active,NULL,SCOTT,2026-03-17 07:39:44.000,2025-12-15 00:00:00.000
25-160,VERTCORP,BUFFER TANK 37 OF 224,Active,NULL,SCOTT,2026-03-14 07:05:25.000,2025-12-15 00:00:00.000
25-161,VERTCORP,BUFFER TANK 38 OF 224,Active,NULL,SCOTT,2026-03-14 07:05:25.000,2025-12-15 00:00:00.000
25-162,VERTCORP,BUFFER TANK 39 OF 224,Active,NULL,SCOTT,2026-03-14 07:05:25.000,2025-12-15 00:00:00.000
25-163,VERTCORP,BUFFER TANK 40 OF 224,Active,NULL,SCOTT,2026-03-14 07:05:25.000,2025-12-15 00:00:00.000
25-202,VERTCORP,BUFFER TANK 79 OF 224,Active,NULL,SCOTT,2026-03-14 07:01:09.000,2025-12-15 00:00:00.000
25-203,VERTCORP,BUFFER TANK 80 OF 224,Active,NULL,SCOTT,2026-03-14 07:01:09.000,2025-12-15 00:00:00.000
25-356,SYNTHOMER,EMULSION TANK,Active,NULL,SHERRI,2026-03-13 09:14:04.000,2025-12-18 00:00:00.000
25-157,VERTCORP,BUFFER TANK 34 OF 224,Active,NULL,SCOTT,2026-03-13 07:27:21.000,2025-12-15 00:00:00.000
