Job,Sequence,Work_Center,Description,Est_Setup_Hrs,Est_Run_Hrs,Est_Total_Hrs,Act_Setup_Hrs,Act_Run_Hrs,Est_Setup_Labor,Est_Run_Labor,Act_Setup_Labor,Act_Run_Labor,Est_Labor_Burden,Act_Labor_Burden,Est_Machine_Burden,Act_Machine_Burden,Est_Total_Cost,Act_Total_Cost,Status,Run_Pct_Complete,Setup_Pct_Complete,Due_Date,Sched_Start,Sched_End,Actual_Start,Act_Total_Hrs
23-003,7,PRE FAB,Roll Repads-Drill & Tap,0.0,3.0,3.0,0.0,3.0,0.0,60.0,0.0,118.5,138.0,272.55,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-25 06:00:00,3.0
23-003,8,PRE FAB,"Bld Lift Lugs, Grd Lugs",0.0,2.0,2.0,0.0,2.0,0.0,40.0,0.0,79.0,92.0,181.7,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-01 06:00:00,2.0
23-003,9,PRE FAB,"Cut, Build Ladder Parts",0.0,6.0,6.0,0.0,6.0,0.0,120.0,0.0,126.0,276.0,289.8,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-24 06:00:00,6.0
23-003,10,PRE FAB,Form and Roll Ladder Hoop,0.0,3.0,3.0,0.0,3.0,0.0,60.0,0.0,118.5,138.0,272.55,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-27 06:00:00,3.0
23-003,11,PRE FAB,Build Ladder-Weld,0.0,16.0,16.0,0.0,16.0,0.0,320.0,0.0,336.0,736.0,772.8,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-31 06:00:00,16.0
23-003,12,PRE FAB,"Cut, Build Handrail Parts",0.0,6.0,6.0,0.0,6.0,0.0,120.0,0.0,126.0,276.0,289.8,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-25 06:00:00,6.0
23-003,13,PRE FAB,Roll Handrail Pipe,0.0,3.0,3.0,0.0,3.0,0.0,60.0,0.0,118.5,138.0,272.55,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-26 06:00:00,3.0
23-003,14,PRE FAB,Roll Handrail Toe Plate,0.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,39.5,46.0,90.85,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-02 06:00:00,1.0
23-003,15,PRE FAB,Build Handrail-Weld,0.0,18.0,18.0,0.0,18.0,0.0,360.0,0.0,548.5,828.0,1079.85,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-27 06:00:00,18.0
23-003,16,PRE FAB,"Cut, Build Platform Parts",0.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,23.5,46.0,54.05,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-27 06:00:00,1.0
23-003,17,PRE FAB,Burn Platform Grating,0.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,23.5,46.0,54.05,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-27 06:00:00,1.0
23-003,18,PRE FAB,Build Platform-Weld,0.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,23.5,46.0,54.05,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-27 06:00:00,1.0
23-003,19,PRE FAB,Wrap Top & Bottom Heads,0.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,28.5,46.0,65.55,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-24 06:00:00,1.0
23-003,20,INSPECTION,UT Shells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-003,21,PRE FAB,"BI, SQ, T&C Shells",0.0,4.0,4.0,0.0,5.0,0.0,80.0,0.0,202.5,184.0,310.5,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,,5.0
23-003,22,PRE FAB,"Roll Shell, Tack-Weld I/S",0.0,6.0,6.0,0.0,7.0,0.0,120.0,0.0,189.0,276.0,434.7,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-24 06:00:00,7.0
23-003,23,INSPECTION,QC Inspection -Top/Bot/Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-003,24,FIT,"L/O Top, B&C Holes",0.0,6.0,6.0,0.0,12.0,0.0,120.0,0.0,420.38,276.0,786.6,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-27 06:00:00,12.0
23-003,25,PRE FAB,Set Nozzles & Lugs - Top,0.0,4.0,4.0,0.0,4.0,0.0,80.0,0.0,171.0,184.0,262.2,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-02 06:00:00,4.0
23-003,26,FIT,Weld Nozzles - Top Head,0.0,12.0,12.0,0.0,21.0,0.0,240.0,0.0,493.5,552.0,1135.05,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-31 06:00:00,21.0
23-003,27,FIT,I&W Repads -Top,0.0,2.0,2.0,0.0,3.0,0.0,40.0,0.0,70.5,92.0,162.15,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-03 06:00:00,3.0
23-003,28,PRE FAB,Install Top Stiffeners,0.0,4.0,4.0,0.0,3.5,0.0,80.0,0.0,88.0,184.0,202.4,0.0,0.0,0.0,0.0,C,75.0,0.0,,,,2023-08-03 06:00:00,3.5
23-003,29,INSPECTION,QC Inspection -Top/Bot/Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-003,30,PRE FAB,"L/O Bottom, B&C Holes",0.0,2.0,2.0,0.0,7.5,0.0,40.0,0.0,213.75,92.0,491.63,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-24 06:00:00,7.5
23-003,31,PRE FAB,Set Nozzles - Bottom Head,0.0,1.0,1.0,0.0,2.0,0.0,20.0,0.0,57.0,46.0,131.1,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-25 06:00:00,2.0
23-003,32,FIT,Weld Nozzles - Bot. Head,0.0,3.0,3.0,0.0,3.0,0.0,60.0,0.0,72.0,138.0,165.6,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-25 06:00:00,3.0
23-003,33,FIT,Fit Bottom Head to Shell,0.0,4.0,4.0,0.0,6.0,0.0,80.0,0.0,126.0,184.0,289.8,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-26 06:00:00,6.0
23-003,34,FIT,Tack Shell Courses,0.0,3.0,3.0,0.0,5.0,0.0,60.0,0.0,140.0,138.0,230.0,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-27 06:00:00,5.0
23-003,35,FIT,Weld Inside Round Seams,0.0,6.0,6.0,0.0,5.0,0.0,120.0,0.0,153.75,276.0,235.75,0.0,0.0,0.0,0.0,C,50.0,0.0,,,,2023-07-31 06:00:00,5.0
23-003,36,FIT,"L/O Shell, B&C Holes",0.0,2.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-003,37,INSPECTION,QC Inspection - Internal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-003,38,FIT,Fit Top to Shell,0.0,4.0,4.0,0.0,10.0,0.0,80.0,0.0,340.0,184.0,782.0,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-08-01 06:00:00,10.0
