Contact,383,16,2,1,0,"ContactKey (int), Contact (int), Customer (varchar), Vendor (varchar), Address (int), Contact_Name (varchar), Title (varchar), Phone (varchar), Phone_Ext (varchar), Fax (varchar), Email_Address (varchar), Last_Updated (datetime), Cell_Phone (varchar), NET1_Contact_ID (varchar), Status (bit), Default_Invoice_Contact (bit)"
Bank_History,285,18,1,0,0,"Bank_History (varchar), Bank (varchar), Statement_Date (datetime), Beginning_Balance (float), Ending_Balance (float), Bank_Statement_OtherChecks (float), Account_OtherChecks (float), Account_Ending_Bal (float), Filter_Date (bit), Bank_Statement_JE_Additions (float), Bank_Statement_JE_Subtractions (float), Outstanding_Deposits (float), Outstanding_JE (float), Outstanding_Checks (float), Cleared_Deposits (float), Cleared_JE (float), Cleared_Checks (float), Last_Updated (datetime)"
Employee,279,26,4,3,1,"Employee (varchar), Work_Center (varchar), Address (int), User_Values (int), First_Name (varchar), Middle_Initial (varchar), Last_Name (varchar), SSN (varchar), Type (varchar), Status (varchar), Class (varchar), Hourly_Rate (money), Commission_Pct (float), Shift_Start (datetime), Shift_End (datetime), Hire_Date (datetime), Note_Text (text), Last_Updated (datetime), Shift (uniqueidentifier), Department (varchar), Supervisor (varchar), Default_Tran_Limit (smallint), Begin_Tran_Prompt (varchar), Repeat_Tran_Prompt (varchar), Tran_Repeater (bit), ObjectID (uniqueidentifier)"
Transaction_Value,258,16,1,0,0,"Transaction_Value (varchar), Data_Type (int), Default_Value (varchar), Display_Text (varchar), Hidden (bit), Max_Value (int), Min_Value (int), Sequence (int), String_Length (int), System_Required (bit), User_Required (bit), Last_Updated (datetime), Transaction_Definition (int), DB_Validation (bit), Confirmation_Prompt (bit), Transaction_Field (varchar)"
AddressCountry,250,4,1,0,0,"ObjectID (uniqueidentifier), CountryCode (varchar), CountryName (varchar), Last_Updated (datetime)"
usr_ACH_Matrix,243,15,1,0,0,"ID (int), ACH_Document (varchar), Block_Name (varchar), Element_Name (varchar), Sequence (int), Data_Type (varchar), Default_Value (varchar), Start (int), Stop (int), Format (varchar), Translation (varchar), Expression (varchar), Status (varchar), Justification (varchar), Empty_Character (varchar)"
User_Code,241,13,2,0,0,"Type (varchar), Code (varchar), Date1 (datetime), Numeric1 (float), Numeric2 (float), Numeric3 (float), Numeric4 (float), Text1 (varchar), Text2 (varchar), Text3 (text), Last_Updated (datetime), Text4 (varchar), ObjectID (uniqueidentifier)"
Operation,208,16,3,2,0,"Operation (varchar), Work_Center (varchar), User_Values (int), Description (varchar), Est_Setup_Hrs (float), Run (float), Run_Method (varchar), Attended_Pct (float), Overlap_Method (varchar), Overlap (float), Efficiency_Pct (float), Note_Text (text), Last_Updated (datetime), ObjectID (uniqueidentifier), WorkCenter_OID (uniqueidentifier), Sched_Resources (float)"
Bill_Of_Jobs,198,13,5,3,0,"Parent_Job (varchar), Component_Job (varchar), Job_Operation (int), Relationship_Type (varchar), Relationship_Qty (int), Manual_Link (bit), Last_Updated (datetime), Root_Job (varchar), ObjectID (uniqueidentifier), Job_Operation_OID (uniqueidentifier), Root_Job_OID (uniqueidentifier), Parent_Job_OID (uniqueidentifier), Component_Job_OID (uniqueidentifier)"
Account,177,7,1,0,1,"Account (varchar), Type (varchar), Description (varchar), Rollup_Account (varchar), Last_Updated (datetime), Section_Name (varchar), QB_ID (varchar)"
